행정구역,2018년,2019년,2020년
동구,23185.6,22961.,17427.9
중구,7659.9,7607.,8603.9
서구,1180.7,1199.2,1172.1
유성구,5294.8,4750.7,5114.6
대덕구,56161.2,55578.8,59458.4
세종특별자치시,36569.56,35825.52,36318.04
충주시,26220.2,26399.9,28813.2
제천시,96071.6,91128.9,98087.8
청주시,838.7,837.5,888.3
보은군,8708870.8,9411508.9,9704408.8
옥천군,2289997.5,2398611.8,2539662.5
영동군,1739853.6,1977422.6,2209278.
진천군,757841.2,838502.2,833866.2
괴산군,4515080.5,5288399.1,5276691.
음성군,636273.1,547418.5,554605.9
단양군,17488472.,17155827.6,15571251.6
증평군,4989382.8,5275188.5,5605512.7
천안시,1120.6,1153.9,1107.8
공주시,285357.5,333609.5,363235.
보령시,181171.4,185445.2,263303.4
아산시,100516.4,90216.4,94443.
서산시,-11026.1,-2815.4,29110.
논산시,137454.9,146094.8,145738.8
계룡시,1237041.5,1625350.2,1563557.7
당진시,50778.9,48944.4,68131.7
금산군,1933069.7,2032282.7,2036017.3
부여군,737919.4,931698.8,929289.8
서천군,2221139.7,2307222.2,2727768.6
청양군,8510082.6,9171431.,9591543.2
홍성군,200811.3,213940.5,221297.8
예산군,622058.7,651902.5,651324.4
태안군,406279.2,762346.6,1185627.1
