행정구역,2018년,2019년,2020년
동구,94280.5,89318.4,3459.3
중구,36270.1,34981.5,5637.6
서구,87978.5,83118.9,3536.8
유성구,71995.8,66900.5,4944.5
대덕구,29275.8,26237.3,3489.7
세종특별자치시,56548.9,54769.1,5097.8
충주시,44904.7,43255.6,3806.5
제천시,27794.6,25918.7,3629.2
청주시,162927.6,152144.9,4150.2
보은군,5106.8,4881.6,2319.8
옥천군,8906.8,8209.6,3049.1
영동군,5535.6,5184.5,2315.1
진천군,20703.4,20644.9,4036.4
괴산군,6150.6,5548.8,2108.1
음성군,23478.1,22393.9,3570.8
단양군,5821.4,5577.2,2874.7
증평군,5200.1,4955,2754.1
천안시,158934.3,146169.7,4883
공주시,34303.8,35629.6,2896.7
보령시,21051.5,20085.2,3710.9
아산시,70801,65206.1,5086.8
서산시,34195.8,32141.5,3718.4
논산시,21553.3,19976.3,3341.5
계룡시,3796.5,3867.2,3381.4
당진시,35969.3,34014.4,3985.5
금산군,8293.2,7944.2,2281.6
부여군,9918,9704,2139.4
서천군,8219.1,7816.4,2737.9
청양군,3564.9,3326.5,2441.1
홍성군,17812.9,16503.4,3548.8
예산군,13447.7,12814.2,2907.3
태안군,13062.6,12814.2,3067.9
