행정구역별(2),latitude,longitude,2014,2015,2016,2017,2018,2019,2020
대전광역시,36.3504396,127.3849508,-,37162614,39335023,40537224,41308348,43092218,44393136
동구,36.312169,127.454884,-,3062106,3316367,3360270,3503333,3686416,3691248
중구,36.3256594,127.4215464,-,4305462,4600637,4737424,4902752,5085859,4928620
서구,36.355504,127.383844,-,10677653,11116724,11743369,12044862,12714786,12716392
유성구,36.3623219,127.3562683,-,11457701,12300508,12996543,13577362,14019944,15343406
대덕구,36.346735,127.415502,-,7659692,8000787,7699618,7280039,7585213,7713470
세종특별자치시,36.4803512,127.2894325,,9261543,9729904,10140164,10423610,11091040,11647981
충청북도,36.7853718,127.6551404,50081510,55191633,59671234,65312366,69636876,69419635,69583769
충주시,36.991105,127.926012,6001887,6082685,6624972,6975877,7618438,8091610,7779481
제천시,37.132646,128.191037,2738197,2949072,3023107,3123530,3174936,3264433,3185810
청주시,36.6424987,127.488975,24597809,26988712,28986816,32907141,36038153,34965677,34817445
보은군,36.489455,127.729485,1002089,1010667,1077012,1184244,1173953,1110390,1167227
옥천군,36.3064369,127.5714191,1183985,1276876,1294795,1371319,1369743,1484119,1432414
영동군,36.175047,127.783423,919420,1023376,982235,1017655,1043652,1078785,1129317
진천군,36.85542,127.435602,4543631,5881596,6565246,7095940,7398059,7614032,7936249
괴산군,36.815381,127.786704,1005562,1138380,1243145,1359992,1312967,1377991,1498780
음성군,36.940282,127.690487,6043066,6721431,7703800,8003556,8168801,8168872,8284106
단양군,36.984539,128.365589,1010332,1136012,1184616,1194947,1197262,1159310,1165485
증평군,36.785345,127.581507,1035532,982825,985489,1078166,1140911,1104417,1187456
충청남도,36.6173379,126.8453965,96780692,101299131,106869144,115557697,115534184,113488325,-
천안시,36.815147,127.113892,22232612,22348506,23705095,26008917,26165157,24152775,-
공주시,36.446556,127.11904,2953498,3197369,3479922,3613380,3628228,3712791,-
보령시,36.333452,126.612803,3888902,4139826,4109369,4248901,3901118,4234257,-
아산시,36.790013,127.002474,21736238,23656597,26324127,30788562,30218688,28971663,-
서산시,36.7849216,126.4502766,15875421,15509556,16369603,17637719,17793365,18138852,-
논산시,36.1872399,127.0986227,3305561,3539582,3663996,3662308,3790489,4080662,-
계룡시,36.274554,127.248633,1196339,1352188,1458295,1467238,1534152,1507709,-
당진시,36.8899744,126.6459003,11160577,11675103,11358068,11479492,11630730,11384432,-
금산군,36.108857,127.488213,2137767,2260575,2182095,2159249,2176282,2279225,-
부여군,36.275658,126.909775,1616340,1827253,1885057,1948200,2008286,1925260,-
서천군,36.080286,126.6917418,1907421,1989613,2075817,1961117,2093446,2362739,-
청양군,36.459151,126.802238,969743,1078537,1102221,1220603,1191448,1188159,-
홍성군,36.601324,126.660775,2825902,3070006,3170913,3195308,3270406,3349387,-
예산군,36.6808995,126.8447382,2469046,2674979,3014711,3229751,3254282,3323778,-
태안군,36.74561,126.297913,2505325,2979441,2969855,2936952,2878107,2876636,-
