city county,target,ap,grow_fi,grow_fsd,hos,popu_pgr,popu_poep,popu_mip,popu_om,cpp,housing_noh,lta,ahr,v,wsc,scr,p,ic,ahs,psap,sosang,so,jungso,jung,dae,er_sgg_man,er_sgg_woman,lfpr_sgg_man,lfpr_sgg_woman,bid,wgr,clc,spfm,pspti,cpp,pls,pol,fir,rsrs_tr,rsrs_fi,rsrs_ci,rsrs_li,rsrs_su,rsrs_in,gre,npptp,hbtp,s10
asan city,1,10967,40.9,56.9,5.2,0.86,12.24,3851,3566,31.3,123673,15095,10.2,12.5,97.5,85.6,98.4,18.1,18.9,34.5,52306,33746,111825,25773,18572,112.3,69.1,75.9,51.3,3.3,3.5,76.2,18.14,1.3,11.9,54.5,5.2,6.7,3,2,4,3,3,3,57.58,1.8,11.8,16.2
boeun-gun,0,7700,7.7,64.6,15.3,-2.15,31.76,282,301,34,15657,9938,45,16.9,53.2,76.5,91.8,10.6,50.1,27.8,6176,2159,9128,793,,10.7,8.6,76.6,59.7,2.1,3.7,62.1,6.5,0.7,5,16.8,6.1,9.9,2,2,2,3,3,3,61.25,2.1,21.2,15.2
boryeong city,1,11067,20.4,67.2,8.7,-0.69,23.76,1030,1187,31,43005,11709,28.8,12.7,86.2,75.1,95.7,12.9,69.7,14.7,20321,6753,31618,4544,3245,32.9,24.1,74.8,56.2,1.7,0.9,58.9,11.37,1.2,16.9,31.5,5.9,7.2,4,5,2,5,5,4,54.44,1.7,10.6,15.8
buyeo-gun,0,10150,14.3,57.1,0.2,-1.83,31.72,563,597,32.4,29614,12153,43.8,12.5,83.1,64.1,90.3,12.2,31,26.2,11229,3216,15895,1450,,21.6,18.9,74.6,62.3,0.2,-0.8,61.8,7.95,0.8,26.8,14.3,5.6,7.2,4,5,3,2,4,4,89.92,2,17,28.5
cheonan city,1,14883,47.6,68,18.4,0.96,9.86,9047,8580,33.6,238264,16976,9.5,10.8,96.7,96.6,98.9,8.2,17.4,25.7,107855,61260,222568,53453,27188,226.3,149.7,78.3,54,1.9,2.7,67.7,19.6,1.9,8.3,41.7,4.8,5.3,3,2,4,3,3,2,64.13,3.3,14.5,15.6
cheongju city,1,10800,37.3,62.3,14.5,0.28,12.08,12639,11831,,292599,,16,9.5,97.1,93.1,95.2,9.6,23.5,61,5918,1796,8559,845,,251.7,184.3,72,51.7,1.1,3.2,66.8,16.73,1.7,11.1,53.4,4.8,6.7,3,3,4,2,3,2,79.77,2.7,12.4,16.8
cheongyang-gun,0,7100,15.9,66.7,8.2,-1.67,32.88,219,510,34,13995,9096,41,12.1,48.8,53.2,90.2,15.1,39.2,23.3,37662,16571,65405,11172,2989,12.2,9.8,86,69.1,3.8,1.6,55.9,9.84,0.6,11.4,15.6,5.7,8.9,4,3,2,4,4,5,69.87,1.9,8.2,22.1
chungju city,1,16375,20.7,63.1,5.7,0.1,18.18,2813,2723,34.3,92114,21886,20.9,16.6,93.5,92.8,91.3,11.6,56.3,51.9,133292,66465,254883,55126,23919,66,50,70.9,54.7,1.7,4.2,57.3,17.83,1.4,8.5,39.4,7.6,9.6,,,,,,,75.15,2.5,12.6,28.9
daejeon city,1,22367,48.2,71,12.6,-0.94,12.71,20825,22133,33.7,492797,10474,17,6,99.9,97.8,100,6.1,10,74.4,237715,107812,433598,88071,68560,69.4,50.5,72.6,52.5,1.9,1.8,63.1,16.29,1.5,2.2,66.1,4.7,4.6,4,4,4,4,4,3,80.49,3.6,15.9,12.5
daejeon daedeok-gu,1,17300,20.4,36.1,16.1,-2.63,13.71,1638,2155,31.4,61426,897,24.8,6.9,99.9,99.6,100,5.1,12.4,85.2,38807,17475,70220,13938,17718,69.4,50.5,72.6,52.5,0.6,0.9,68.5,16.6,1.4,4.9,69,4.3,4.1,5,4,3,5,4,4,72.02,2.3,14.2,14.7
daejeon dong-gu,1,18000,11.5,30.1,6.5,-0.76,16.96,3644,3611,38.2,79740,2346,26.7,5.7,99.9,99.2,100,6.2,9.6,79.7,34974,10868,55034,9192,1313,69.4,50.5,72.6,52.5,0.5,2.4,59.1,21.01,0.9,4.2,61.4,4.9,5.5,5,5,3,4,5,3,87.71,2.3,13.7,15.4
daejeon jung-gu,1,16933,14.5,31.3,10.7,-1.61,17.13,2888,3227,30.7,82320,1103,32.8,5.6,99.9,99.4,100,8.2,6.6,95,41145,13653,67197,12399,8348,69.4,50.5,72.6,52.5,1.4,0.1,54,10.69,1.4,5.3,83.8,4.7,4.7,4,3,4,4,4,4,74.29,5.8,24,14.1
