,latitude,longitude,jb,ahr,sp,ap,grdp,gj,go,cgo,sup,pits,pses,hos,psap,pls,ppsp,경제,사회,양극화지수,target
계룡시,36.274554,127.248633,37,4.6,89.8,-32.5,99.6,56.2,55.4,58.3,1.5,12.7,34.2,86.4,-12.3,-85.6,96.5,49.6,32.4,41,0
공주시,36.446556,127.11904,40.8,29.3,7.8,26.7,99.1,66.7,65.6,68.4,1.7,25.1,-10.8,91.4,-4.5,65.8,96.5,50.9,47.3,49.1,1
괴산군,36.815381,127.786704,41.9,37.3,83.5,38,99.7,66.2,64.8,70.4,2.1,73.2,57.5,41.4,66.7,24.7,73.8,75.1,53.5,64.3,0
금산군,36.108857,127.488213,43.1,38.7,77.7,19.4,99.5,65.2,64.6,68.5,1,35.5,41.6,84.8,71.9,-40.4,36.9,69.6,44.1,56.9,0
논산시,36.1872399,127.0986227,40,35.1,42.1,27.8,99.1,66.4,65,71.6,2.1,20.8,11.6,94.4,2.5,47.9,73.8,61,46.6,53.8,0
단양군,36.984539,128.365589,45.7,37.8,84.4,36.8,99.7,67.1,66.1,74.2,1.4,43.6,57.7,68.2,2.2,-26,-58.2,76.1,33.4,54.7,0
당진시,36.8899744,126.6459003,37.9,15.6,3.3,-45,97.3,71.4,69.9,72.6,2.2,11.7,25.9,57.1,76.8,38.4,32.6,27.3,47.2,37.2,1
대전광역시,36.3504396,127.3849508,32.7,20.8,-71.9,-66.4,90.3,61.3,58.7,63.9,4.2,-2.7,-10.1,20.2,-24.1,27.4,0.7,1.4,24.5,12.9,1
보령시,36.333452,126.612803,41.7,9.8,43.4,11.9,99.1,64.9,64.2,71.8,1.1,15.4,20.9,35.9,70.1,32.9,76.6,51.5,46.2,48.9,0
보은군,36.489455,127.729485,44.8,2.4,86.3,38,99.7,65.9,65.3,73,0.9,51.4,63.9,30.8,36.2,74.7,23.4,67.8,49,58.4,0
부여군,36.275658,126.909775,43.8,28.4,73.3,19.8,99.5,64.7,64.2,71.1,0.7,45.4,66.6,67.2,52.2,35.6,46.8,66.2,51.2,58.7,0
서산시,36.7849216,126.4502766,41,46.7,8.1,-2.3,95.8,67,66.3,70.5,1.1,4.9,31,100,-7.6,36.3,98.6,47.3,47.5,47.4,0
서천군,36.080286,126.6917418,46,43.3,77.9,39.4,99.5,68.4,67.8,74,0.9,37.1,62.5,32.3,49.8,69.9,36.9,76.5,50.4,63.5,0
세종특별자치시,36.4803512,127.2894325,37.9,16.4,-51.9,-80.7,97.5,63.2,58.7,65.6,2.3,-2.1,-2.6,90.4,56.9,6.2,-44,4.8,32.5,18.6,1
아산시,36.790013,127.002474,38.6,43,-90.2,15.1,92.9,64.3,62.5,67,2.8,9.3,24.3,44.9,31.3,66.4,66,24.8,44.8,34.8,1
영동군,36.175047,127.783423,42.2,6.7,100,29.9,99.8,62,61.1,65.1,1.5,51.2,45.7,88.9,21.9,57.5,9.9,69.6,46.6,58.1,0
예산군,36.6808995,126.8447382,44.2,10.1,63.9,37.2,99.2,67.8,66.8,73.1,1.6,41.6,56.2,98.5,11.2,67.1,74.5,63.6,55.2,59.4,0
옥천군,36.3064369,127.5714191,42,37.6,76.1,29.9,99.7,65.1,64,71.2,1.7,36.6,70.5,100,42.9,15.1,-65.2,71.3,41.9,56.6,0
음성군,36.940282,127.690487,43.8,38.2,36.9,16.2,98.1,69.5,67.3,73.4,3.1,18.5,36.6,80.3,50,12.3,14.2,58.3,44.3,51.3,0
제천시,37.132646,128.191037,41.6,17.2,25.3,27.8,99.3,61.4,60.8,65.8,1.1,8.7,-8.7,49.5,60.5,-71.2,-16.3,52.8,25.5,39.1,1
증평군,36.785345,127.581507,38.9,19.5,86,40.4,99.7,65.8,64.2,68,2.4,-2.9,64.7,8.6,-46.2,-151.4,-144,71.1,2.5,36.8,1
진천군,36.85542,127.435602,45.1,14.4,44.4,41.2,98.3,71.5,70,74.3,2.2,6.9,52.1,100,45.5,41.8,39.7,60.8,51.1,56,0
천안시,36.815147,127.113892,35.8,9.2,-327.1,-13.7,93.8,66.1,64,67.8,3.1,-2.1,20,-318.2,16.7,51.4,69.5,-50.5,11.6,-19.5,1
청양군,36.459151,126.802238,43.4,41.8,90.4,42.8,99.7,76,75.8,79.4,0.3,48.5,72.9,58.1,72.3,45.9,18.4,79.5,55.3,67.4,0
청주시,36.6424987,127.488975,33.9,15.4,-337.8,-29.8,91.5,62.1,60.2,65.5,3,0.4,-6.2,-313.1,26.1,15.8,59.6,-56.7,5.7,-25.5,1
충주시,36.991105,127.926012,41.8,20.8,-20.7,14.1,98.2,62,60.6,65.3,2.2,6.7,-10.3,81.8,58.3,44.5,39.7,38.6,42.2,40.4,1
태안군,36.74561,126.297913,43.5,28.1,64.9,6.9,99.3,74.1,73.4,77.3,1,34.4,41.1,61.6,54,66.4,97.9,60.7,57.8,59.3,0
홍성군,36.601324,126.660775,43,25.8,52.1,13.5,99.2,63.3,61.7,65.7,2.5,24.9,88.5,100,61.4,63,63.8,58.4,57.6,58,0
계룡시,36.274554,127.248633,37.8,4.6,89,-24,99.7,57.1,56.4,59.3,1.2,24.8,22.7,77.2,-89.3,-26.4,-29.4,51.8,20,35.9,0
공주시,36.446556,127.11904,42.5,28.4,-1.6,30.6,99.1,67.6,66.1,69.4,2.2,15.5,-20.9,40.9,-15.5,43.5,-10.7,49.8,30.1,39.9,1
괴산군,36.815381,127.786704,43,35.4,84.2,29,99.7,69.2,67.9,73.3,1.9,70.5,61.7,48,68.3,59.7,42.8,72.8,55.8,64.3,0
금산군,36.108857,127.488213,44.2,38.3,77.4,20.5,99.5,64.5,63.7,66.5,1.3,14.2,28.2,63.8,48.2,23,-94.7,70,31.4,50.7,0
논산시,36.1872399,127.0986227,41.1,35.2,43.1,33.7,99.1,65.3,64.3,70.8,1.6,6,-14.9,71.7,-14.5,14.1,53.5,63,34.9,49,0
단양군,36.984539,128.365589,46.6,40.6,84.1,39.4,99.7,67.4,66.1,73.9,1.9,29.2,54.6,52.8,16.4,44.4,-89.3,77.6,35.2,56.4,0
당진시,36.8899744,126.6459003,38,15.7,3,-36,97.4,72,70.7,73.6,1.8,-4.3,-37.4,49.6,78,34.9,59.4,29.5,42.3,35.9,1
대전광역시,36.3504396,127.3849508,33.4,17,-71.4,-72.6,90.1,62.4,59.8,65.3,4.2,-27.1,-44,0.8,-42.3,-50.6,21.9,-0.9,12.2,5.7,1
보령시,36.333452,126.612803,42.5,28.8,42.7,14.6,99,65.7,64.9,72,1.3,35.9,21.1,31.5,71.9,28.2,88.2,56.9,48.6,52.7,0
보은군,36.489455,127.729485,47.5,45,86.1,40.6,99.7,68.1,67.3,75,1.1,55.5,36.5,-20.5,46.8,61.7,-210.2,79.7,23.9,51.8,0
부여군,36.275658,126.909775,44.4,43.8,72.3,21.7,99.6,68.3,68,73.9,0.4,40.6,61.2,98.4,49.9,67.4,11.8,70.4,53.8,62.1,0
